source_uuid,concept,icon_id,status,module,findings
f238b6ea-82d0-5437-a344-0ec38b16a28d,Heart Rate Monitoring Hand,monitoring-heart-beat-hand,blocked,icon_set/work/primitive-make-ray/f238b6ea-82d0-5437-a344-0ec38b16a28d/20260924T185524-repair-b13/monitoring_heart_beat_hand_f238b6ea_82d0_5437_a344_0ec38b16a28d.py,"mic [pulse]: pulse and hand are 3.41424 apart on centerlines nearest (31.4333, 18)<->(31.4333, 21.4142); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | holes/pinches: 1 undersized holes; 0 pinches | mic [heart]: heart and pulse are 0 apart on centerlines nearest (6.73535, 18)<->(6.73535, 18); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [heart]: heart and hand are 0 apart on centerlines nearest (34.489, 22.489)<->(34.489, 22.489); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship"
7ecac39c-d98d-4ff3-af33-ae4cbc274cb3,Buy Action Button Icon,rectangle-buy-text,blocked,icon_set/work/primitive-make-ray/7ecac39c-d98d-4ff3-af33-ae4cbc274cb3/20260924T215859-typeface-v2/rectangle_buy_text_7ecac39c_d98d_4ff3_af33_ae4cbc274cb3.py,"contour 'glyph-0-0' is not contiguous at member 'glyph-0-0-2': expected start (10, 20), got (10.756999999999996, 20.11208)"
8c9afa4f-6b92-41b3-8bcd-f538c69afde6,Calendar With Data Pie Chart,calendar-pie,blocked,icon_set/work/primitive-make-ray/8c9afa4f-6b92-41b3-8bcd-f538c69afde6/20260923-round2-b03-9425f8/calendar_pie_8c9afa4f_6b92_41b3_8bcd_f538c69afde6.py,internal-spacing [pie / spoke-diagonal]: pie-br and spoke-diagonal have 2.7379 units of ink clearance over 3.9976 units; requires 4; review required | internal-spacing [pie / spoke-diagonal]: pie-tl and spoke-diagonal have 2.7379 units of ink clearance over 3.9976 units; requires 4; review required
14b5dacf-2ae7-4b43-b032-7129b3d49037,Calendar with Math Equation,calendar-math,blocked,icon_set/work/primitive-make-ray/14b5dacf-2ae7-4b43-b032-7129b3d49037/20260923-round2-b03-9425f8/calendar_math_14b5dacf_2ae7_4b43_b032_7129b3d49037.py,"mic [calendar-body]: parallel straight edges calendar-body-0 and one-2 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [calendar-body]: calendar-body and one are 5 apart on centerlines nearest (44, 20)<->(39, 20); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [two]: two and plus-horizontal are 7.36983 apart on centerlines nearest (19.8526, 24.203)<->(27, 26); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [plus-horizontal]: plus-horizontal and one are 7.2111 apart on centerlines nearest (31, 26)<->(37, 22); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship"
dd80ecbb-13f8-47dc-9883-44bd19aa7cc6,Computer Monitor Alphabet Display,monitor-letters,blocked,icon_set/work/primitive-make-ray/dd80ecbb-13f8-47dc-9883-44bd19aa7cc6/20260924T215859-typeface-v2/monitor_letters_dd80ecbb_13f8_47dc_9883_44bd19aa7cc6.py,"contour 'glyph-0-0' is not contiguous at member 'glyph-0-0-1': expected start (4, 15), got (4.000059999999997, 15.49989250000937)"
1aef3c2a-6d0d-43a2-9616-698d70dc5298,Computer Monitor with Application Icons,monitor-small-squares,blocked,icon_set/work/primitive-make-ray/1aef3c2a-6d0d-43a2-9616-698d70dc5298/20260924T212707-repair-b16/monitor_small_squares_1aef3c2a_6d0d_43a2_9616_698d70dc5298.py,"mic [square-1]: parallel straight edges square-1-3 and screen-4, screen-3 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [screen]: screen and square-1 are 4 apart on centerlines nearest (25, 40)<->(25, 36); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship"
6cbe1bf6-f7d0-4add-99b4-0d1a57f47f13,Computer Monitor with Math Symbols,monitor-math,blocked,icon_set/work/primitive-make-ray/6cbe1bf6-f7d0-4add-99b4-0d1a57f47f13/20260923T-batch27-6f68f6/monitor_math_6cbe1bf6_f7d0_4add_99b4_0d1a57f47f13.py,"mic [screen]: screen and plus-v are 5 apart on centerlines nearest (19, 34)<->(19, 29); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [screen]: screen and divide-bar are 7 apart on centerlines nearest (42, 16)<->(35, 16); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [screen]: screen and divide-dot-0 are 6 apart on centerlines nearest (31, 6)<->(31, 12); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [divide-bar]: divide-bar and divide-dot-0 are 4 apart on centerlines nearest (31, 16)<->(31, 12); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [divide-bar]: divide-bar and divide-dot-1 are 4 apart on centerlines nearest (31, 16)<->(31, 20); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship"
fc5ffdff-80e9-4119-bf62-fb7c515c5aad,Eighteen Plus Calendar,browser-with-18-plus-text,blocked,icon_set/work/primitive-make-ray/fc5ffdff-80e9-4119-bf62-fb7c515c5aad/20260923-round2-b03-9425f8/browser_with_18_plus_text_fc5ffdff_80e9_4119_bf62_fb7c515c5aad.py,"mic [calendar-body]: parallel straight edges calendar-body-0 and plus-vertical-1, plus-vertical-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [calendar-body]: calendar-body and one are 6 apart on centerlines nearest (6, 26)<->(12, 26); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [header]: header and eight-top are 5 apart on centerlines nearest (23, 18)<->(23, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [calendar-body]: calendar-body and eight-bottom are 7 apart on centerlines nearest (23, 42)<->(23, 35); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [calendar-body]: calendar-body and plus-horizontal are 3 apart on centerlines nearest (42, 30)<->(39, 30); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [one]: one and eight-top are 6 apart on centerlines nearest (14, 26)<->(20, 26); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [one]: one and eight-bottom are 6 apart on centerlines nearest (14, 32)<->(20, 32); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [eight-top]: eight-top and plus-horizontal are 7.77064 apart on centerlines nearest (25.7716, 27.1481)<->(33, 30); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [eight-bottom]: eight-bottom and plus-horizontal are 7.19804 apart on centerlines nearest (25.9424, 31.4147)<->(33, 30); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | internal-spacing [eight-top / eight-bottom]: eight-top-0 and eight-bottom-0 have 1.5115 units of ink clearance over 4.4631 units; requires 4; review required | internal-spacing [eight-top / eight-bottom]: eight-top-1 and eight-bottom-1 have 1.5115 units of ink clearance over 4.4631 units; requires 4; review required"
3cb36a1f-8edb-4e21-9623-b8c8fac724c3,Electric Car with Lightning Bolt,car-flash,blocked,icon_set/work/primitive-make-ray/3cb36a1f-8edb-4e21-9623-b8c8fac724c3/20260923-round2-b03-9425f8/car_flash_3cb36a1f_8edb_4e21_9623_b8c8fac724c3.py,internal-spacing [flash]: flash-1 and flash-3 have -0.1707 units of ink clearance over 5.8577 units; requires 4; review required
06655b8e-39ad-4051-aafc-316a27ffb14a,GDPR Compliance Badge,gdpr-text-in-rectangle,blocked,icon_set/work/primitive-make-ray/06655b8e-39ad-4051-aafc-316a27ffb14a/20260923-batch17-303d32cb/gdpr_text_in_rectangle_06655b8e_39ad_4051_aafc_316a27ffb14a.py,"mic [d-stem]: parallel straight edges d-stem and g-6 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [g]: parallel straight edges g-6 and g-3 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [g]: parallel straight edges g-3 and frame-6 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [frame]: frame and g are 4 apart on centerlines nearest (4, 21)<->(8, 21); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [frame]: frame and r-leg are 3 apart on centerlines nearest (44, 30)<->(41, 30); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [g]: g and d-stem are 5 apart on centerlines nearest (13, 19)<->(18, 19); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [d-bowl]: d-bowl and p-stem are 4 apart on centerlines nearest (23, 24)<->(27, 24); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [p-bowl]: p-bowl and r-stem are 5 apart on centerlines nearest (31, 21)<->(36, 21); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | holes/pinches: 4 undersized holes; 2 pinches | mic [frame]: frame and d-stem are 8 apart on centerlines nearest (18, 10)<->(18, 18); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship | mic [frame]: frame and p-stem are 8 apart on centerlines nearest (27, 10)<->(27, 18); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship"
