0	Large Fish Pursuing Small Fish	A large round fish faces right with a wide open angular mouth, small eye and curved gill. A much smaller fish swims directly ahead of its mouth.	fish,large,small,pursuit,sea,aquatic,animals
1	Shaped Armor Breastplate	A sleeveless breastplate has a wide rounded neckline and curved arm openings. Paired chest contours meet at the center above a tapered waist and flared lower rim.	armor,breastplate,chest,protection,vest,warrior,equipment
2	Shallow Cereal Bowl	A broad cereal bowl appears in perspective with an oval opening and a rounded underside. A few short marks sit inside its otherwise plain visible surface.	cereal,bowl,breakfast,food,dish,meal,kitchen
3	Open Gender Symbol with Small Shapes	An open circular form ends in an arrow pointing upper right. Two detached circles and a triangle cluster near its lower left opening, with no clear connection between them.	gender,arrow,circles,triangle,symbol,shapes,ambiguous
4	Long Handled Broom and Dustpan	A broom leans diagonally toward an upright dustpan. Its rounded head carries several projecting bristles, while the dustpan has a triangular scoop and a tall straight handle.	broom,dustpan,cleaning,bristles,handle,household,sweep
5	Curved Straw Broom Sweeping Dust	A broom curves from a short rounded handle toward long spreading bristles at lower left. A small two lobed dust cloud sits separately beside the sweeping end.	broom,sweeping,dust,cleaning,bristles,household,handle
6	Broad Curved Sweeping Broom	A long broom bends from its narrow rounded handle into a broad two tipped sweeping head. A small rounded dust cloud floats to the left of the curved body.	broom,sweep,dust,cleaning,household,brush,curved
7	Domed Bubble Tea Cup	A tapered bubble tea cup has a domed lid crossed by a horizontal rim. A bent straw rises from the top, and three circular pearls sit inside the cup.	bubble-tea,boba,cup,straw,pearls,drink,lid
8	Looped Brass Bugle	A brass bugle has a narrow horizontal mouthpiece leading into a broad flared bell at the right. Its lower tubing curves back into a large open oval loop.	bugle,brass,horn,music,instrument,bell,tubing
9	Building Enveloped by Flame	A tall rectangular building with three pairs of small windows stands within a much larger flame. The flame rises behind its roof and curls upward along both sides.	building,fire,flame,burning,emergency,windows,structure
10	Stepped Tower with Spire	A tall central skyscraper rises above stepped side towers of decreasing height. Several short horizontal facade marks punctuate the main shaft beneath a narrow top section and spire.	tower,skyscraper,spire,architecture,building,skyline,stepped
11	Banknote Catching Fire	A banknote tilts toward the upper right with a circular center mark and an open lower edge. A large flame overlaps its lower left corner, enclosing a smaller flame.	banknote,money,fire,burning,currency,flame,bill
12	Cereal Bowl with Angled Spoon	A rounded bowl holds a spoon whose handle leans upward to the right. The spoon head dips below the oval rim, beside a curved line marking the contents.	cereal,bowl,spoon,breakfast,food,meal,tableware
13	Round Bodied Hen	A hen stands facing right with a pointed beak, rounded crest and small wattle. Its broad curved body rises into a short tail above two thin feet.	hen,chicken,poultry,bird,farm,beak,animal
14	Three Buildings beneath Cloud	Three adjoining buildings increase in height from left to right, combining flat and pitched roofs. Short paired window marks punctuate their fronts beneath a small cloud at upper left.	buildings,city,cloud,skyline,roofs,architecture,urban
15	Drink Cup with Bent Straw	A tall drinking cup tapers toward a rounded base beneath an open flat rim. A bent straw projects upward, and an uneven liquid line crosses the cup's middle.	drink,cup,straw,liquid,beverage,glass,refreshment
16	Tracked Bulldozer with Front Blade	A bulldozer faces right with a raised angular cab above a long rounded track. A short horizontal arm connects the body to a tall curved blade at the front.	bulldozer,construction,tracks,blade,vehicle,machine,earthmoving
17	Hard Hat Worker Bust	A worker faces forward beneath a domed safety helmet with a raised central ridge and wide brim. A plain oval face sits above broad shoulders and an open collar.	worker,construction,helmet,hardhat,person,portrait,safety
18	Curved Sausage with Tied Ends	A broad sausage curves upward at both ends, forming a shallow crescent. Rounded caps and small forked ties mark its tips, while the long central casing remains plain.	sausage,bratwurst,food,meat,casing,curved,cooking
19	Oval Brooch with Extended Pin	An upright oval brooch surrounds a smaller oval center. A straight pin extends horizontally from its right edge to a separate round fastening, leaving the ornamental face plain.	brooch,jewelry,pin,oval,ornament,accessory,fastener
20	Two Level Bus in Profile	A double decker bus appears in side view with two rows of divided windows. A rounded roof tops its tall body, and two circular wheels project below the lower edge.	bus,double-decker,vehicle,transport,windows,wheels,public
21	Tall Bus Front	A tall bus faces forward with rounded upper corners and a narrow horizontal window near its roof. A lower front seam and paired lights sit above two short wheels.	bus,front,vehicle,transport,windshield,lights,wheels
22	Uneven Flowing Water Lines	Four smooth wave lines flow horizontally at different heights. The middle curves meet briefly near the right side, creating an overlapping rhythm of broad crests and shallow troughs.	water,waves,flow,stream,curves,river,ripples
23	Four Hole Cross Stitched Button	A circular sewing button has a wide outer rim surrounding four small holes. Two diagonal threads cross between opposite holes, forming an X at the center.	button,sewing,thread,holes,clothing,fastener,stitch
24	Egg Bacon and Sausage Breakfast	A fried egg with a round yolk sits beside a wavy strip of bacon. Above them lies a rounded sausage marked with three short diagonal scoring lines.	breakfast,egg,bacon,sausage,food,meal,fried
25	Streamlined Train Nose	A high speed train faces left with a long tapered nose and smooth rising roof. A narrow windshield line and elongated side window sit above a straight rail.	train,bullet-train,rail,transport,nose,window,railway
26	Fanned Household Broom	A broom angles upward to the right from a wide curved head. Its rounded handle joins a domed collar above long bristles that flare outward toward the sweeping edge.	broom,cleaning,brush,bristles,handle,household,sweep
27	Paired Hemisphere Brain	A brain appears from above as two matching lobed halves divided by a straight central seam. A few short curved folds mark the rounded surface on each side.	brain,anatomy,mind,hemispheres,organ,human,folds
28	Knife Buttering Bread	A slice of bread has a broad rounded top and a narrower flat base. A knife crosses it diagonally over a curved patch of spread near the center.	bread,knife,butter,spread,toast,food,breakfast
29	Capped Bottle and Drinking Glass	A tall bottle with rounded shoulders and a narrow capped neck stands beside a small glass. A horizontal line divides the glass, indicating its partially filled interior.	bottle,glass,drink,liquor,beverage,cap,tableware
30	Rounded Roll with Diagonal End	A horizontal capsule-shaped roll has a rounded right end and a curved seam near its left end. A diagonal line crosses that end section, leaving the main body plain.	roll,capsule,rounded,seam,diagonal,outline,ambiguous
31	Handheld Flared Megaphone	A megaphone points right with a wide flared horn and thick rounded front rim. A compact rear housing carries a downward handle, while a small dome projects beyond the bell.	megaphone,horn,announcement,handle,sound,speaker,device
32	Paneled Underwear Briefs	A pair of briefs faces forward beneath a broad waistband. Curved seams descend toward a narrow central crotch, framed by two high rounded leg openings at the sides.	briefs,underwear,clothing,waistband,seams,garment,bottoms
33	Cream Topped Milkshake	A tapered milkshake cup holds a high swirl of whipped cream above its flat rim. A bent straw rises at the right, and a wavy liquid line crosses the cup.	milkshake,cream,cup,straw,drink,dessert,beverage
34	Two Sloping Roof Towers	Two narrow towers stand side by side with rooflines sloping in opposite directions. Short horizontal window bands and small ground level doors mark each building, with a mast on the taller one.	towers,buildings,city,architecture,skyscrapers,windows,urban
35	Folded Origami Boat	A paper boat has an angular hull with raised pointed ends and a triangular center peak. Diagonal fold lines meet in the middle and extend toward its flat lower corners.	boat,paper,origami,folds,craft,triangle,hull
36	Overlapping Square and Circle	A rounded square sits above and to the left of a larger circle. Their complete outlines overlap across the square's lower right corner, leaving both interiors empty.	square,circle,overlap,geometry,shapes,outline,pair
37	Little Sailboat under Cloud	A small sailboat has a trapezoidal hull and one triangular sail rising above its center. Two rows of waves run below, with a rounded cloud in the upper right sky.	sailboat,boat,waves,cloud,sail,water,scene
