status: invalid
  ERROR  mic [play]: parallel straight edges play-2 and right-6 are 5.36656 apart on centerlines (ink gap 1.36656); requires at least 8 centerline / 4 ink (overlap-fallback)
  ERROR  mic [top]: parallel straight edges top-4 and play-1 are 5.36656 apart on centerlines (ink gap 1.36656); requires at least 8 centerline / 4 ink (overlap-fallback)
  ERROR  mic [top]: top and play are 5.36656 apart on centerlines nearest (24, 18)<->(21.6, 22.8); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  ERROR  mic [top]: top and scan-left are 7 apart on centerlines nearest (18, 13)<->(11, 13); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  ERROR  mic [top]: top and scan-right are 7 apart on centerlines nearest (30, 13)<->(37, 13); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  ERROR  mic [left]: left and play are 2.23607 apart on centerlines nearest (18, 33)<->(20, 32); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  ERROR  mic [left]: left and scan-bottom are 2 apart on centerlines nearest (18, 39)<->(20, 39); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  ERROR  mic [right]: right and play are 5.36656 apart on centerlines nearest (30, 33)<->(27.6, 28.2); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  ERROR  mic [right]: right and scan-bottom are 2 apart on centerlines nearest (30, 39)<->(28, 39); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  ERROR  mic [play]: play and scan-bottom are 7 apart on centerlines nearest (20, 32)<->(20, 39); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
BUILD GATE FAIL (fail, 10 errors, 0 warnings)
  error: mic [play]: parallel straight edges play-2 and right-6 are 5.36656 apart on centerlines (ink gap 1.36656); requires at least 8 centerline / 4 ink (overlap-fallback)
  error: mic [top]: parallel straight edges top-4 and play-1 are 5.36656 apart on centerlines (ink gap 1.36656); requires at least 8 centerline / 4 ink (overlap-fallback)
  error: mic [top]: top and play are 5.36656 apart on centerlines nearest (24, 18)<->(21.6, 22.8); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  error: mic [top]: top and scan-left are 7 apart on centerlines nearest (18, 13)<->(11, 13); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  error: mic [top]: top and scan-right are 7 apart on centerlines nearest (30, 13)<->(37, 13); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  error: mic [left]: left and play are 2.23607 apart on centerlines nearest (18, 33)<->(20, 32); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  error: mic [left]: left and scan-bottom are 2 apart on centerlines nearest (18, 39)<->(20, 39); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  error: mic [right]: right and play are 5.36656 apart on centerlines nearest (30, 33)<->(27.6, 28.2); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  error: mic [right]: right and scan-bottom are 2 apart on centerlines nearest (30, 39)<->(28, 39); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
  error: mic [play]: play and scan-bottom are 7 apart on centerlines nearest (20, 32)<->(20, 39); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship
