Number,Icon,Status,Kind,Categories,Findings,Python source
1,account-profile-card-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-2 and p3-r1-4 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/account_profile_card_sub32_a2029a15_66fa_482d_a28c_001d915dd91d.py
2,acoustic-guitar-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-4-1 are 5.93653 apart on centerlines nearest (10.8501, 19.0469)<->(16, 22); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/acoustic_guitar_sub32_2e3b9013_429e_4cb3_8093_1e76dd0f5307.py
3,add-user-left-content-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/add_user_left_content_sub32_8ba0173e_ae74_494a_8435_e67c82a71260.py
4,add-user-right-content-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/add_user_right_content_sub32_76a7beb2_8dda_4a85_a0e7_ab19ebdecd32.py
5,airchair-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-8 and p1-r1-5 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-3 and p1-r1-12 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-4 and p1-r1-10 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
holes/pinches: 1 undersized holes; 0 pinches
internal-spacing [path-1-1]: p1-r1-3 and p1-r1-12 have 1 units of ink clearance over 5 units; requires 2; review required
internal-spacing [path-1-1]: p1-r1-4 and p1-r1-10 have 1 units of ink clearance over 11 units; requires 2; review required
internal-spacing [path-1-1]: p1-r1-5 and p1-r1-8 have 1 units of ink clearance over 5 units; requires 2; review required",icon_set/model/icons/symbol/airchair_sub32_2e130f83_d8c1_50d3_98ae_5ea5bac53dab.py
6,airplane-flying-over-globe-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-5-1 are 5.60201 apart on centerlines nearest (14.7184, 16.4598)<->(18, 21); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/airplane_flying_over_globe_sub32_edb3fdfa_2f3d_4eac_81a5_1655e873407e.py
7,android-mascot-without-arms-sub32,fail,symbol,Bounds; Symmetry,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
symmetry [p2-r1-1]: ink is 98.85% mirrored about vertical axis 16, but centerline differs by 0.997356 units near [5.0, 12.0]",icon_set/model/icons/symbol/android_mascot_without_arms_sub32_596b45cf_ebbb_4b9e_8b3b_4920f3f23506.py
8,angry-person-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-3-1]: path-3-1 and path-5-1 are 5.50248 apart on centerlines nearest (13, 11)<->(14.8276, 16.1901); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-4-1]: path-4-1 and path-5-1 are 5.50248 apart on centerlines nearest (19, 11)<->(17.1724, 16.1901); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-2-1 are 0 apart on centerlines nearest (16, 24)<->(16, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-3-1 are 5.99929 apart on centerlines nearest (7.22554, 6.36736)<->(12, 10); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-4-1 are 5.99929 apart on centerlines nearest (24.7745, 6.36736)<->(20, 10); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/angry_person_sub32_dafb63e7_5f8a_47d0_a53c_945b0a5d235d.py
9,angular-gear-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-17 and p1-r1-15 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-15 and p1-r1-12 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-12 and p1-r1-10 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/angular_gear_sub32_8ce3c661_d221_45e9_90b3_0342f52ed76e.py
10,antique-axe-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-2 and p1-r1-6 are 6.36396 apart on centerlines (ink gap 2.36396); requires at least 8 centerline / 4 ink (overlap-fallback)
mic [path-1-1]: path-1-1 and path-2-1 are 0.707107 apart on centerlines nearest (18.5, 13.5)<->(18, 14); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/antique_axe_sub32_934292aa_0c19_5266_ac04_c173d576425d.py
