Name,Source ID,Uses,Status,Reason,Brief family,Saved brief,Component briefs,Progression URL,Reference URL
Active Sporting Figure,62189f84-b3c6-4b58-ba8a-fae03adee313,1,todo,,solo,"# Active Sporting Figure

- source_uuid: 62189f84-b3c6-4b58-ba8a-fae03adee313
- source: pictographic-primitives/video-games/batch-12/video game wii_62189f84-b3c6-4b58-ba8a-fae03adee313.svg
- original: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/video-games/video game wii_62189f84-b3c6-4b58-ba8a-fae03adee313.svg
- render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/fixed-last-page/20260917-next-50/png/41-320.png
- native48: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/fixed-last-page/20260917-next-50/png/41-48.png

- icon_id: active-sporting-figure
- family: solo
- description: A spare line figure leans diagonally upward toward a separate circular head at upper-right. A long crossing line forms extended arms, with one straight leg and one short curved leg below the body.
- tags: person, sport, active, movement, figure, wii, game, exercise

Run $icon-solo for this standalone subject at 48×48 when generation is separately requested.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family’s design rules and preserve the named subject’s identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=62189f84-b3c6-4b58-ba8a-fae03adee313,http://localhost:8000/gallery/combination-originals/62189f84-b3c6-4b58-ba8a-fae03adee313.svg
Add New User,8ba0173e-ae74-494a-8435-e67c82a71260,2,skip,combination,,,"[{""role"": ""main_brief"", ""description"": ""A front-facing user with a round head and curved shoulders. Complete the bust without modifiers."", ""family"": ""solo"", ""name"": ""User Bust""}, {""role"": ""sub_brief"", ""description"": ""A single equal-armed plus sign."", ""family"": ""sub"", ""name"": ""Plus Sign""}]",http://localhost:8000/gallery/primitives.html?status=all&q=8ba0173e-ae74-494a-8435-e67c82a71260,http://localhost:8000/gallery/combination-originals/8ba0173e-ae74-494a-8435-e67c82a71260.svg
Add New User Profile,76a7beb2-8dda-4a85-a0e7-ab19ebdecd32,2,skip,combination,,,"[{""role"": ""main_brief"", ""description"": ""A front-facing user with a round head and curved shoulders. Complete the bust without modifiers."", ""family"": ""solo"", ""name"": ""User Bust""}, {""role"": ""sub_brief"", ""description"": ""A single equal-armed plus sign."", ""family"": ""sub"", ""name"": ""Plus Sign""}]",http://localhost:8000/gallery/primitives.html?status=all&q=76a7beb2-8dda-4a85-a0e7-ab19ebdecd32,http://localhost:8000/gallery/combination-originals/76a7beb2-8dda-4a85-a0e7-ab19ebdecd32.svg
Add New User Profile,e68e4095-a045-40e9-81f2-491f7d5b6a83,2,skip,combination,,,"[{""role"": ""main_brief"", ""description"": ""A front-facing head silhouette with a neck and curved shoulders. Omit modifiers."", ""family"": ""solo"", ""name"": ""User Profile""}, {""role"": ""sub_brief"", ""description"": ""A single equal-armed plus sign."", ""family"": ""sub"", ""name"": ""Plus Sign""}]",http://localhost:8000/gallery/primitives.html?status=all&q=e68e4095-a045-40e9-81f2-491f7d5b6a83,http://localhost:8000/gallery/combination-originals/e68e4095-a045-40e9-81f2-491f7d5b6a83.svg
Adjustable T-shirt width arrows,209827a6-da89-4cf7-a37d-a474d679eb0b,1,skip,combination,,,"[{""role"": ""main_brief"", ""description"": ""A front-facing short-sleeved T-shirt with a rounded neckline."", ""family"": ""solo"", ""name"": ""T-Shirt""}, {""role"": ""sub_brief"", ""description"": ""A straight horizontal arrow."", ""family"": ""sub"", ""name"": ""Width Arrow""}]",http://localhost:8000/gallery/primitives.html?status=all&q=209827a6-da89-4cf7-a37d-a474d679eb0b,http://localhost:8000/gallery/combination-originals/209827a6-da89-4cf7-a37d-a474d679eb0b.svg
Airplane Flying Over Globe,edb3fdfa-2f3d-4eac-81a5-1655e873407e,1,todo,,,,,http://localhost:8000/gallery/primitives.html?status=all&q=edb3fdfa-2f3d-4eac-81a5-1655e873407e,http://localhost:8000/gallery/combination-originals/edb3fdfa-2f3d-4eac-81a5-1655e873407e.svg
Android Robot Mascot,c737ad22-037b-47d7-883f-17a8b36a58e5,1,todo,,solo,"# Android Robot Mascot

- icon_id: android-robot-mascot
- family: solo
- description: A front-facing robot has a domed head with two outward antennae, a broad horizontal head seam, and a rounded body flowing into two short separated legs. Its face and torso are blank.
- tags: android, robot, mascot, antenna, technology, mobile

- source_uuid: c737ad22-037b-47d7-883f-17a8b36a58e5
- reference_path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/apps/android_c737ad22-037b-47d7-883f-17a8b36a58e5.svg
- source: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-1/20260917-snapshot/sources/android_c737ad22-037b-47d7-883f-17a8b36a58e5-4059377419e3/android_c737ad22-037b-47d7-883f-17a8b36a58e5.svg
- render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-1/20260917-snapshot/04@320.png
- native48: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-1/20260917-snapshot/04@48.png

Authoring handoff: $icon-solo (48×48).

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=c737ad22-037b-47d7-883f-17a8b36a58e5,http://localhost:8000/gallery/combination-originals/c737ad22-037b-47d7-883f-17a8b36a58e5.svg
Animal Paw Print,162eae61-5c7a-4f66-b659-3f2fbd11c0a5,16,todo,,solo,"# Three Toed Paw Print

Source UUID: 162eae61-5c7a-4f66-b659-3f2fbd11c0a5
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/paw print_162eae61-5c7a-4f66-b659-3f2fbd11c0a5.svg
Catalog path: pictographic-primitives/other/paw print_162eae61-5c7a-4f66-b659-3f2fbd11c0a5.svg
Source filename: paw print_162eae61-5c7a-4f66-b659-3f2fbd11c0a5.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/02@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/02@48.png

- concept: Three Toed Paw Print
- icon_id: three-toed-paw-print
- family: solo
- description: Three oval toe pads arch above a broad central paw pad. The large lower pad has a rounded upper lobe, sloping sides and a flattened lower edge.
- tags: paw, print, animal, pet, track, pad, toes, footprint

Authoring handoff: $icon-solo three-toed-paw-print; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=162eae61-5c7a-4f66-b659-3f2fbd11c0a5,http://localhost:8000/gallery/combination-originals/162eae61-5c7a-4f66-b659-3f2fbd11c0a5.svg
Arrow pointing to a dot,2e9c1712-6d57-4597-8235-ae8113db02d3,1,todo,,solo,"# Arrow Pointing Down Left

Source UUID: 2e9c1712-6d57-4597-8235-ae8113db02d3
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/mark point_2e9c1712-6d57-4597-8235-ae8113db02d3.svg
Catalog path: pictographic-primitives/other/mark point_2e9c1712-6d57-4597-8235-ae8113db02d3.svg
Source filename: mark point_2e9c1712-6d57-4597-8235-ae8113db02d3.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/05@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/05@48.png

- concept: Arrow Pointing Down Left
- icon_id: arrow-pointing-down-left
- family: solo
- description: A long diagonal shaft descends from upper-right into an open arrowhead pointing down-left. A tiny detached mark lies just beyond the tip, indicating the destination point in the same directional diagram.
- tags: arrow, pointer, direction, target, point, diagonal, down, left

Authoring handoff: $icon-solo arrow-pointing-down-left; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=2e9c1712-6d57-4597-8235-ae8113db02d3,http://localhost:8000/gallery/combination-originals/2e9c1712-6d57-4597-8235-ae8113db02d3.svg
Artistic Paint Brush Tool,a0a41169-49c3-4086-a686-b84d4a7eeb92,1,todo,,solo,"# Swept Tip Artist Paintbrush

Source UUID: a0a41169-49c3-4086-a686-b84d4a7eeb92
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/brush_a0a41169-49c3-4086-a686-b84d4a7eeb92.svg
Catalog path: pictographic-primitives/other/brush_a0a41169-49c3-4086-a686-b84d4a7eeb92.svg
Source filename: brush_a0a41169-49c3-4086-a686-b84d4a7eeb92.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/08@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/08@48.png

- concept: Swept Tip Artist Paintbrush
- icon_id: swept-tip-artist-paintbrush
- family: solo
- description: A paintbrush points down-left, with a broad curved bristle bundle tapering to an asymmetric tip. A rounded projecting ferrule joins it to a long handle with a rounded upper-right end.
- tags: brush, paintbrush, art, artist, bristle, ferrule, handle, tool

Authoring handoff: $icon-solo swept-tip-artist-paintbrush; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=a0a41169-49c3-4086-a686-b84d4a7eeb92,http://localhost:8000/gallery/combination-originals/a0a41169-49c3-4086-a686-b84d4a7eeb92.svg
