0|Three Parallel Ocean Waves|three-parallel-ocean-waves|Three long wavy lines run horizontally in evenly spaced rows. Each alternates smoothly between rounded crests and troughs, with matching curves aligned vertically and no enclosing border around the water.|ocean,waves,water,sea,ripples,symbol
1|Tornado over Tracking Map|tornado-over-tracking-map|A tornado narrows from a broad oval top through a descending series of curved bands. Beneath it, a tilted map panel contains a winding track and two short dashed marks.|tornado,map,storm,weather,tracking,wind
2|Kimono Sash Belt|kimono-sash-belt|A horizontal sash extends to both sides of a broad rounded central fastening. A small rectangular opening sits inside the fastening, while the two straight belt ends remain aligned behind it.|sash,belt,kimono,clothing,fastening,accessory
3|Palm on Small Island|palm-small-island|A single palm tree rises from a low semicircular island with a flat base. Four broad curved fronds spread from the top of its straight trunk, with pointed tips bending outward.|palm,island,tree,tropical,fronds,landscape
4|Offset Rounded Squares|offset-rounded-squares|Two rounded squares overlap diagonally, with one above and left of the other. Their continuous outlines cross through the shared central area, leaving the outer corners clearly visible on opposite sides.|squares,overlap,shapes,geometry,offset,outline
5|Long-Necked Profile Bust|long-necked-profile-bust|A blank oval head narrows into a long neck before widening into sloping shoulders. The front-facing bust has a broad straight bottom edge and softly rounded lower corners without interior details.|bust,avatar,person,profile,head,shoulders
6|People under Wireless Arcs|people-wireless-review|Three circular-headed busts share a straight baseline, with the largest person centered in front. Three curved wireless arcs float above the middle head, expanding outward as they rise above the group.|people,wireless,signal,group,users,arcs
7|Horizontal Bar Alignment Diagram|horizontal-bar-alignment-diagram|A wide rectangular bar sits above a separate long horizontal line. A short vertical stroke appears below their shared center, with generous gaps separating all three elements in the open diagram.|alignment,bar,diagram,layout,horizontal,guide
8|Waving Flag on Rounded Pole|waving-flag-rounded-pole|A broad flag extends right from a tall narrow pole with a rounded top. Its upper and lower edges follow matching waves, while the free right edge remains straight and vertical.|flag,pole,banner,waving,cloth,standard
9|Whole Nutmeg and Cut Half|whole-nutmeg-cut-half|A large oval nutmeg leans diagonally behind a smaller cut half at the lower right. Curved grooves mark the whole nut, while an irregular central kernel appears inside the thick cut rim.|nutmeg,spice,nut,whole,cut,food
10|Segmented Wireless Fan|segmented-wireless-fan|A fan-shaped wireless symbol expands upward from a small circular base. Two curved interior divisions follow the broad outer arc, with straight diagonal sides enclosing the stacked open signal bands.|wireless,signal,wifi,fan,network,bands
11|Article with Left Picture|article-left-picture|A rounded picture placeholder occupies the upper left of a text layout, beside three short horizontal lines. Three longer lines continue beneath the picture, with the lowest ending short of the others.|article,picture,text,layout,document,paragraph
12|Pointed Artist Paintbrush|pointed-artist-paintbrush|A slender paintbrush tilts from lower left to upper right, with a long rounded handle above a short ferrule. Its soft bristle head swells outward before tapering into a curved pointed tip.|paintbrush,brush,artist,paint,bristles,tool
13|Kidney-Shaped Paint Palette|kidney-shaped-paint-palette|A rounded paint palette has an inward thumb notch along its lower right edge. Three small circular paint wells sit around the upper left interior, beside a larger circular opening on the right.|palette,paint,artist,color,wells,art
14|Broad-Tipped Artist Brush|broad-tipped-artist-brush|A diagonal paintbrush has a rounded handle separated from its bristles by a broad ferrule. The bristle head spreads into a full curved belly that narrows toward a pointed lower left end.|brush,paintbrush,artist,art,bristles,handle
15|Car before Gabled House|car-before-gabled-house|A front-facing car sits in the lower left before a larger gabled house. The car has a broad windscreen and short headlights, while the house has a tall rounded doorway beneath its peaked roof.|car,house,home,vehicle,residential,building
16|Car beside Raised Boom Gate|car-raised-boom-gate|A front-facing car waits beside a striped gate post on the left. A long raised barrier arm angles upward across the scene, above the car's broad windscreen, small headlights, and two wheels.|car,parking,barrier,gate,vehicle,entrance
17|Car with Parking Badge|car-parking-badge-review|A front-facing car has a wide windscreen, short horizontal headlights, and two small wheels. A large circular badge containing the capital letter P overlaps the upper right part of the vehicle.|car,parking,badge,p,vehicle,sign
18|Round Hanging Bauble|round-hanging-bauble|A large circular ornament hangs beneath a short rectangular cap and a rounded loop. The sphere remains entirely blank, with the cap centered above it and the loop rising from the cap.|bauble,ornament,christmas,hanging,decoration,round
19|City Tower beside Tree|city-tower-beside-tree|A tall rectangular building stands beside a small rounded tree on a shared baseline. Short horizontal window marks cross the tower, which has a rooftop block and antenna above a low foreground structure.|city,building,tree,urban,tower,landscape
20|Three-Button Electronic Pager|three-button-electronic-pager|A compact pager has a rounded rectangular body, a wide blank display near the top, and three small rounded buttons below. A tiny detached curved mark sits beneath the device.|pager,device,electronic,display,buttons,communication
21|Long Lapelled Overcoat|long-lapelled-overcoat|A long overcoat has broad notched lapels framing an open neckline and a straight central seam. Its sleeves angle outward beside the body, with short diagonal pocket openings near the lower sides.|overcoat,coat,clothing,lapels,sleeves,outerwear
22|Closed Paperback with Curved Spine|closed-paperback-curved-spine|A closed upright paperback has a blank rectangular front cover with a rounded upper spine corner. A curved page block projects beneath the cover, joining the left spine to the lower right edge.|paperback,book,cover,spine,pages,reading
23|Diagonal Wrapped Rope Coil|diagonal-wrapped-rope-coil|A thick rope coil lies diagonally with two large open loops at opposite ends. Two broad wraps cross its middle, holding the loops together and interrupting their curved outlines at the center.|rope,coil,climbing,loops,wrapped,camping
24|Upright Bound Rope Coil|upright-bound-rope-coil|A vertically folded rope forms long open loops above and below three horizontal binding wraps. A loose end emerges from the lower right side of the binding and curls downward before turning upward.|rope,coil,climbing,binding,loops,cord
25|Four-Panel Dashboard Layout|four-panel-dashboard-layout|A rounded rectangular dashboard is divided into four blank sections. A broad header spans the top, with a tall left panel below and two stacked rectangular panels filling the remaining right side.|dashboard,layout,panels,interface,window,sections
26|Page with Diagonal Pen|page-diagonal-pen-review|An upright page outline has rounded corners and a small curl at its lower left edge. A large pen lies diagonally across the blank interior, interrupting the page's right outline near its top.|page,pen,document,writing,edit,paper
27|Blank Page with Triangular Fold|blank-page-triangular-fold|A tall blank page has rounded left and lower corners beneath a folded upper right corner. The fold creates a triangular flap above the broad open face, with a curved inner join.|page,document,paper,fold,blank,sheet
28|Curled Sheet with Pencil|curled-sheet-pencil-review|A blank upright sheet curls outward at its lower left corner. A large diagonal pencil occupies its center, with a pointed lower left tip and rounded upper end beside a gap in the page outline.|sheet,pencil,document,paper,edit,writing
29|Article with Right Picture|article-right-picture|A rounded square article card contains a small rounded picture panel at the upper right. Two short lines sit to its left, above two longer text lines that extend across the lower area.|article,picture,document,layout,text,card
30|Dog in Open Shelter|dog-open-shelter|A dog faces right beneath a sloping shelter roof, standing on long legs with a pointed ear and muzzle. The shelter has a left wall and floor, leaving its right side open.|dog,shelter,kennel,animal,pet,roof
31|Domed Columned Building|domed-columned-building|A broad domed roof sits above a projecting horizontal cornice and a row of straight columns. The columns rest on a wide raised base, forming a balanced front-facing classical building.|building,dome,columns,classical,government,architecture
32|Paint Roller with Drips|paint-roller-with-drips|A wide paint roller has a rounded rectangular sleeve with a large droplet hanging beneath it. A bent support arm extends from its right end and curves downward into a vertical rounded handle.|roller,paint,drips,decorating,handle,tool
33|Rounded Electrical Wall Outlet|rounded-electrical-wall-outlet|A rounded square wall plate surrounds a smaller rounded socket face. Two vertical slots sit near the upper center of the socket, with one short horizontal grounding slot positioned beneath them.|outlet,socket,electrical,wall,power,plate
34|Angular Faceted Ore Rock|angular-faceted-ore-rock|An irregular rock has a broad polygonal outline with softened corners and an angled top. Long internal seams divide it into several large faces, with a short diagonal mark on the right facet.|rock,ore,mineral,stone,facets,geology
35|Uterus and Curled Fallopian Tubes|uterus-curled-fallopian-tubes|A broad uterus narrows downward into a rounded cervical stem. Symmetrical curved tubes extend outward from its upper sides and curl inward at their ends, with a short curve inside the upper body.|uterus,anatomy,fallopian,reproductive,organ,body
36|Five Interlocking Olympic Rings|five-interlocking-olympic-rings|Five equal circular rings overlap in two staggered rows. Three rings occupy the upper row, with two below them crossing the spaces between the upper circles in a wide balanced arrangement.|olympic,rings,sports,circles,interlocking,symbol
37|Five Rounded Flower Petals|five-rounded-flower-petals|Five broad rounded petals surround a small circular flower center. One petal points upward, two spread to the sides, and two extend downward, with visible seams between the adjoining petal bases.|flower,petals,blossom,plant,floral,round
38|Pansy with Paired Leaves|pansy-paired-leaves|A pansy flower has overlapping rounded petals around a small central disk with short radiating marks. A straight stem descends beneath the blossom, ending between two pointed leaves that spread outward.|pansy,flower,leaves,stem,plant,blossom
39|Kite beside Small Cloud|kite-beside-small-cloud|A diamond-shaped kite tilts beside a small cloud at the upper left. Crossing spars divide the kite into triangular panels, and a loose curved tail descends from its lower point.|kite,cloud,flying,sky,tail,outdoors
40|Folded Omelet with Curved Marks|folded-omelet-curved-marks|A folded omelet forms a broad half-oval tilted upward to the right. Its upper edge runs diagonally between rounded ends, while a curling interior mark and a short lower curve suggest surface folds.|omelet,egg,breakfast,food,folded,cooked
41|Orchard Tree beside Fence|orchard-tree-beside-fence|A fruit tree with three round fruits rises from a curved hill beside a short fence. Its broad lobed crown rests on a straight trunk, with crossing fence rails on the left.|orchard,tree,fruit,fence,landscape,garden
42|Round Panda Face|round-panda-face|A panda face has a large rounded head with two small round ears at the top. Two tilted oval eye patches sit above a small curved triangular muzzle near the lower center.|panda,face,head,animal,ears,bear
43|Hand Drill over Fire Log|hand-drill-fire-log|A hand grips an upright drill stick above a horizontal log with a circular left end. Short radiating marks flank the contact area, while the wrist extends out to the right.|fire,drill,hand,log,camping,friction
44|Paint Spray Gun with Bottle|paint-spray-gun-bottle|A paint spray gun has a rounded horizontal body and an angled grip beneath it. A bottle hangs from the lower front connection, while three separated spray lines fan outward from the nozzle.|paint,spray,gun,bottle,nozzle,tool
45|Hooded Parka with Pockets|hooded-parka-pockets|A winter parka has a large rounded hood above a straight central opening. Long sleeves angle outward beside the body, with two horizontal pocket openings and a short zipper detail near the right hem.|parka,jacket,hood,pockets,clothing,winter
46|Crossed Stockinged Legs|crossed-stockinged-legs|Two slender stockinged legs cross in profile, with one leg straight and the other bent forward at the knee. The raised foot points down, crossing in front of the supporting shin.|legs,stockings,pantyhose,clothing,body,pose
47|Pancreas with Curved Duodenum|pancreas-curved-duodenum|An elongated pancreas tapers toward the upper right and widens into a rounded head on the left. A broad curved intestinal loop wraps around the head, with interior curves separating the adjoining forms.|pancreas,organ,anatomy,duodenum,digestive,body
48|Rounded Standing Person|rounded-standing-person|A standing person has a separate circular head above a broad rounded torso. Short arms hang beside the body, and a vertical lower division separates two straight legs with softly rounded feet.|person,figure,standing,human,body,avatar
49|Plain Ice Cream Bar|plain-ice-cream-bar|A plain ice cream bar has a tall rounded rectangular body with a domed upper edge. A narrow stick extends centrally beneath it, ending in a rounded tip below the frozen treat.|icecream,bar,popsicle,stick,frozen,dessert
50|Lattice Oil Pump Jack|lattice-oil-pump-jack|An oil pump jack has a long sloping beam above a tapered lattice support. A curved horsehead hangs at the left, with vertical rods descending from both ends toward a shared ground line.|oil,pump,jack,industry,beam,energy
51|Keyhole within Open Circle|keyhole-open-circle-review|A large keyhole has a circular upper opening that narrows into a flared lower stem. An outer circular arc wraps around it, ending separately on either side of the keyhole's base.|keyhole,circle,security,opening,lock,logo
52|Three-Section Pantry Cabinet|three-section-pantry-cabinet|A tall pantry cabinet has a broad rounded outer frame surrounding a rectangular front. Two horizontal divisions create three sections, with a short vertical handle near the right edge of the middle section.|pantry,cabinet,storage,kitchen,door,furniture
53|Castle with Central Roofed Tower|castle-central-roofed-tower|A castle facade has two crenellated side towers and a taller central tower with a pointed roof. A rounded doorway opens below the central wall, beneath one narrow vertical window slit.|castle,towers,medieval,fortress,building,battlements
54|Knight with Closed Visor|knight-closed-visor|A front-facing knight wears a domed helmet with a small plume above a broad visor. A narrow eye opening crosses the faceplate, with three vertical vents below and rounded shoulders beneath.|knight,helmet,visor,armor,medieval,bust
55|Circle with Three Round Openings|three-opening-circle-review|A large circular outline surrounds three smaller circles in a triangular arrangement. One small circle sits above two lower circles, with no thumb notch or other marks identifying the surrounding round object.|circle,openings,palette,button,round,reference
56|Office Building with Side Annex|office-building-side-annex|A tall rectangular office building has four square windows arranged above a centered doorway. A shorter blank annex stands against its right side, with both structures resting on a shared horizontal baseline.|office,building,windows,annex,city,architecture
57|Framed Mountain Landscape|framed-mountain-review|A rounded square frame surrounds two overlapping mountain peaks and a small round sun in the upper left. The mountain slopes reach the side edges, with the taller peak on the right.|landscape,mountains,sun,frame,picture,image
58|Paper Sheet with Fold Guides|paper-sheet-fold-guides|An upright sheet has rounded lower corners and a diagonally clipped upper right corner. A dashed horizontal fold guide crosses its middle, meeting a shorter dashed vertical guide descending from the top.|paper,sheet,fold,guides,dashed,document
59|Computer Desk beside Clock|desk-clock-review|A desk with angled legs supports a monitor and a small upright object at the right. A separate round clock floats above that object, with two short hands meeting inside its face.|desk,computer,clock,office,monitor,furniture
60|Computer Desk with Drawer Pedestal|computer-desk-drawer-pedestal|A desktop monitor rests on a short central stand above a wide desk. The desk has a narrow left leg and a rounded right pedestal divided by one horizontal drawer seam.|desk,computer,monitor,drawers,office,furniture
61|Handled Oil Jerry Can|handled-oil-jerry-can|A tall jerry can has rounded corners, a small raised cap at the upper left, and a sloping upper shoulder. A triangular rounded handle opening occupies the upper right portion of the body.|jerrycan,oil,can,handle,container,fuel
62|Doctor Bust beside Laptop|doctor-laptop-review|A blank oval head sits above rounded shoulders marked with a small cross on the chest. A partly open laptop outline appears at the lower left, overlapping the bust's lower edge.|doctor,laptop,medical,person,cross,consultation
63|Open Book above Device Base|book-device-base-review|An open book with curved page edges floats above a broad rounded rectangular base. A short horizontal line sits inside the base, while the separate book pages meet at a central fold.|book,device,base,reading,online,reference
64|Open Two-Panel Brochure|open-two-panel-brochure|An open brochure has two tall rectangular panels meeting along a central vertical fold. Its top and bottom edges angle inward at the fold, with three short parallel text lines on the right panel.|brochure,pamphlet,paper,fold,information,panels
65|Upright Open Palm|upright-open-palm|An open hand faces forward with four long fingers held upright and a thumb angled outward to the left. A curved palm crease sweeps inward from the thumb base above the open wrist.|hand,palm,fingers,thumb,anatomy,gesture
66|Five-Leaf Oregano Sprig|five-leaf-oregano-sprig|A straight herb stem carries two pairs of pointed oval leaves and one upright terminal leaf. Short diagonal branches connect the side leaves to the stem, alternating around its central vertical line.|oregano,herb,leaves,plant,stem,botanical
67|Otoscope Examining an Ear|otoscope-examining-ear|An otoscope extends horizontally toward a large ear outline on the right. Its tapered head ends in a short narrow tip, with a vertical handle below and a curved inner ear contour opposite it.|otoscope,ear,medical,examination,instrument,hearing
68|Ox Head with Raised Horns|ox-head-raised-horns|An ox head faces forward with a long tapered face and broad rounded muzzle. Two large horns curve outward and upward above small side ears, leaving the central face blank.|ox,cattle,head,horns,animal,livestock
69|Pearl in Open Oyster|pearl-open-oyster|A broad open oyster shell has a scalloped upper edge and tapered lower sides. A large round pearl sits in its center, above a shallow curved lower shell lip at the base.|oyster,pearl,shell,seafood,marine,mollusk
70|Triangular Ozone Molecule|triangular-ozone-molecule|Three circular atoms form an uneven triangle, with one at the left and two stacked on the right. Straight connecting bonds join each pair, enclosing a small open triangular space between them.|ozone,molecule,atoms,bonds,chemistry,science
