0	Paired Three-Stroke Tufts	Two small groups of three short strokes sit far apart on a shared horizontal level. Each group has an upright middle stroke flanked by two diagonals that fan outward.	tufts,strokes,grass,marks,pair,sprays,pattern
1	Domed Oven with Arched Mouth	A broad domed oven rises from a low rectangular plinth, with straight lower sides beneath its rounded roof. A smaller arched opening sits centrally at the base of the dome.	oven,dome,arch,mouth,hearth,baking,plinth
2	Interlocking Rounded Square Outlines	Two rounded square outlines overlap diagonally from upper left to lower right. Their facing edges break around a smaller central square-shaped intersection, making the two larger forms appear interlinked.	squares,interlocking,overlap,links,geometry,outline,connection
3	Arrow with a Long Upward Shaft	A long vertical shaft rises to a sharp central point. Two long diagonal arms descend outward from that point, forming a broad symmetrical arrowhead above the lower stem.	arrow,up,shaft,direction,pointer,vertical,navigation
4	Inline Wireless Transmitter	A small upright rounded transmitter body interrupts a thin vertical mast. Three nested semicircular signal arcs spread above the mast, centered over the body and opening downward.	transmitter,wireless,antenna,signal,mast,radio,waves
5	Pointed Arch Linux Emblem	A tall triangular emblem has a sharp apex and a curved lower edge with a rounded central notch. A small interruption near the lower-right slope separates a short outer segment.	arch linux,logo,triangle,notch,emblem,operating system,point
6	Archaeologist Beside a Spade	A front-facing bust wears a rounded brimmed hat above a plain oval face and broad shoulders. A pointed spade stands upright to the right, with its narrow shaft descending toward a rounded grip.	archaeologist,spade,hat,person,bust,excavation,tool
7	Tiered File Folders in a Tray	Several rounded folder tops rise in a stepped stack behind a broad front tray. The front edge has a deep central finger recess, and the lower corners curve into a flat base.	folders,tray,files,archive,stack,office,storage
8	Infinity Loop with Plus and Minus	A horizontal infinity loop forms two rounded lobes crossing at the center. A minus sign occupies the left lobe and a plus sign occupies the right, balanced within the outline.	infinity,arduino,plus,minus,loop,logo,electronics
9	Semicircle Beneath a Tangent Bar	A broad semicircular dome rests on a straight horizontal base. A separate horizontal bar lies across its crown, with short interruptions where the bar meets the highest part of the curve.	semicircle,dome,bar,tangent,astrology,vulcan,symbol
